fen,eval
rnbqkb1r/pppp1ppp/7n/4p3/3N4/2N5/PPPPPPPP/R1BQKB1R b KQkq - 1 3,-4.5300
rnbqkb1r/ppp2ppp/7n/3pp3/3N4/2N5/PPPPPPPP/R1BQKB1R w KQkq - 0 4,-1.2300
rnbqkb1r/ppp2ppp/7n/3pp3/3N4/2N5/PPPPPPPP/1RBQKB1R b Kkq - 1 4,-5.3600
rnbqkb1r/ppp2p1p/7n/3pp1p1/3N4/2N5/PPPPPPPP/1RBQKB1R w Kkq - 0 5,-1.6200
rnbqkb1r/ppp2p1p/7n/3pp1p1/3N4/2N5/PPPPPPPP/1RBQKBR1 b kq - 1 5,-5.3000
rnbq1b1r/ppp1kp1p/7n/3pp1p1/3N4/2N5/PPPPPPPP/1RBQKBR1 w - - 2 6,-0.4000
rnbq1b1r/ppp1kp1p/7n/1N1pp1p1/8/2N5/PPPPPPPP/1RBQKBR1 b - - 3 6,-1.0600
rnbq1b1r/pppk1p1p/7n/1N1pp1p1/8/2N5/PPPPPPPP/1RBQKBR1 w - - 4 7,1.0000
rnbq1b1r/pppk1p1p/7n/1N1pp1p1/8/2N4P/PPPPPPP1/1RBQKBR1 b - - 0 7,-1.6300
rnb2b1r/pppk1p1p/5q1n/1N1pp1p1/8/2N4P/PPPPPPP1/1RBQKBR1 w - - 1 8,2.9200
rnb2b1r/pppk1p1p/5q1n/1N1pp1p1/8/2N4P/PPPPPPP1/1RBQKB1R b - - 2 8,-0.7700
rnb4r/pppk1p1p/5q1n/1N1pp1p1/1b6/2N4P/PPPPPPP1/1RBQKB1R w - - 3 9,3.5000
rnb4r/pppk1p1p/5q1n/3pp1p1/1b1N4/2N4P/PPPPPPP1/1RBQKB1R b - - 4 9,-2.0100
rnb1r3/pppk1p1p/5q1n/3pp1p1/1b1N4/2N4P/PPPPPPP1/1RBQKB1R w - - 5 10,2.1900
rnb1r3/pppk1p1p/5q1n/3pp1p1/1b1N4/2NP3P/PPP1PPP1/1RBQKB1R b - - 0 10,-3.4100
rnb1r3/pppk1p1p/1q5n/3pp1p1/1b1N4/2NP3P/PPP1PPP1/1RBQKB1R w - - 1 11,1.5400
rnb1r3/pppk1p1p/1q5n/3pp1p1/1b1N3P/2NP4/PPP1PPP1/1RBQKB1R b - - 0 11,-4.1700
rnb1r3/ppp1kp1p/1q5n/3pp1p1/1b1N3P/2NP4/PPP1PPP1/1RBQKB1R w - - 1 12,0.8200
rnb1r3/ppp1kp1p/1q5n/3pp1p1/1b1NP2P/2NP4/PPP2PP1/1RBQKB1R b - - 0 12,-2.8300
rnb1r3/ppp1k2p/1q5n/3pppp1/1b1NP2P/2NP4/PPP2PP1/1RBQKB1R w - - 0 13,2.3400
rnb1r3/ppp1k2p/1q5n/3pppp1/1b1NP1PP/2NP4/PPP2P2/1RBQKB1R b - - 0 13,-2.5900
rnb1r3/ppp1k2p/1q5n/4ppp1/1b1Np1PP/2NP4/PPP2P2/1RBQKB1R w - - 0 14,1.8700
rnb1r3/ppp1k2p/1q5n/4ppp1/1b1Np1PP/2NP4/PPPQ1P2/1RB1KB1R b - - 1 14,-3.0500
rnb2r2/ppp1k2p/1q5n/4ppp1/1b1Np1PP/2NP4/PPPQ1P2/1RB1KB1R w - - 2 15,1.9200
rnbqkb1r/1ppppppp/5n2/p7/8/6PN/PPPPPP1P/RNBQKBR1 b Qkq - 1 3,-1.3500
rnbqkb1r/1ppppppp/8/p2n4/8/6PN/PPPPPP1P/RNBQKBR1 w Qkq - 2 4,0.2700
rnbqkb1r/1ppppppp/8/p2n4/8/6PN/PPPPPP1P/RNBQKB1R b Qkq - 3 4,-0.3200
rnbqkb1r/1ppp1ppp/8/p2np3/8/6PN/PPPPPP1P/RNBQKB1R w Qkq - 0 5,-0.1800
rnbqkb1r/1ppp1ppp/8/p2np3/1P6/6PN/P1PPPP1P/RNBQKB1R b Qkq - 0 5,-2.3500
rnbqkb1r/1pppnppp/8/p3p3/1P6/6PN/P1PPPP1P/RNBQKB1R w Qkq - 1 6,-0.8600
rnbqkb1r/1pppnppp/8/p3p1N1/1P6/6P1/P1PPPP1P/RNBQKB1R b Qkq - 2 6,-2.3500
rnbqkbnr/p1pppp1p/6p1/1p5P/8/2P5/PP1PPPP1/RNBQKBNR b KQkq - 0 3,1.2200
rnbqkb1r/p1pppp1p/5np1/1p5P/8/2P5/PP1PPPP1/RNBQKBNR w KQkq - 1 4,1.5600
rnbqkb1r/p1pppp1p/5np1/1p5P/8/2P1P3/PP1P1PP1/RNBQKBNR b KQkq - 0 4,0.4200
rnbqkb1r/p2ppp1p/2p2np1/1p5P/8/2P1P3/PP1P1PP1/RNBQKBNR w KQkq - 0 5,1.1400
rnbqkb1r/p2ppp1p/2p2np1/1p5P/6Q1/2P1P3/PP1P1PP1/RNB1KBNR b KQkq - 1 5,-6.5200
rnbqkb1r/3ppp1p/2p2np1/pp5P/6Q1/2P1P3/PP1P1PP1/RNB1KBNR w KQkq - 0 6,-0.7500
rnbqkb1r/3ppp1p/2p2np1/pB5P/6Q1/2P1P3/PP1P1PP1/RNB1K1NR b KQkq - 0 6,-6.2000
rnbqkb1r/3ppp1p/2p2np1/1B5P/p5Q1/2P1P3/PP1P1PP1/RNB1K1NR w KQkq - 0 7,-1.0300
rnbqkb1r/3ppp1p/2p2np1/1B5P/p7/2P1P3/PP1PQPP1/RNB1K1NR b KQkq - 1 7,-3.9000
rn1qkb1r/3ppp1p/b1p2np1/1B5P/p7/2P1P3/PP1PQPP1/RNB1K1NR w KQkq - 2 8,1.9600
rn1qkb1r/3ppp1p/b1p2np1/1B5P/p7/2PQP3/PP1P1PP1/RNB1K1NR b KQkq - 3 8,-3.9700
rn1qkb1r/1b1ppp1p/2p2np1/1B5P/p7/2PQP3/PP1P1PP1/RNB1K1NR w KQkq - 4 9,-2.4900
rn1qkb1r/1b1ppp1p/2p2np1/1B5P/p6R/2PQP3/PP1P1PP1/RNB1K1N1 b Qkq - 5 9,-3.2700
rn1qkb1r/1b2pp1p/2p2np1/1B1p3P/p6R/2PQP3/PP1P1PP1/RNB1K1N1 w Qkq - 0 10,-0.9800
rn1qkb1r/1b2pp1p/2p2nP1/1B1p4/p6R/2PQP3/PP1P1PP1/RNB1K1N1 b Qkq - 0 10,-2.2200
rnbqkb1r/p1pppppp/5n2/1p6/8/P2P3N/1PP1PPPP/RNBQKB1R b KQkq - 1 3,-0.5600
rnbqkb1r/p1pppp1p/5n2/1p4p1/8/P2P3N/1PP1PPPP/RNBQKB1R w KQkq - 0 4,2.0200
rnbqkb1r/p1pppp1p/5n2/1p4p1/8/P1PP3N/1P2PPPP/RNBQKB1R b KQkq - 0 4,0.1900
rnbqk2r/p1ppppbp/5n2/1p4p1/8/P1PP3N/1P2PPPP/RNBQKB1R w KQkq - 1 5,1.7000
rnbqk2r/p1ppppbp/5n2/1p4p1/8/P1PP3N/1P2PPPP/RNBQKBR1 b Qkq - 2 5,-1.2600
rnbqk2r/p1ppppb1/5n1p/1p4p1/8/P1PP3N/1P2PPPP/RNBQKBR1 w Qkq - 0 6,-0.7800
rnbqk2r/p1ppppb1/5n1p/1p4p1/8/P1PPP2N/1P3PPP/RNBQKBR1 b Qkq - 0 6,-1.1200
rn1qk2r/p1ppppb1/b4n1p/1p4p1/8/P1PPP2N/1P3PPP/RNBQKBR1 w Qkq - 1 7,-0.4600
rn1qk2r/p1ppppb1/b4n1p/1p4p1/3P4/P1P1P2N/1P3PPP/RNBQKBR1 b Qkq - 0 7,-0.8500
rn1qk1r1/p1ppppb1/b4n1p/1p4p1/3P4/P1P1P2N/1P3PPP/RNBQKBR1 w Qq - 1 8,0.6600
rn1qk1r1/p1ppppb1/b4n1p/1p4p1/3P1P2/P1P1P2N/1P4PP/RNBQKBR1 b Qq - 0 8,0.2700
rn1qkr2/p1ppppb1/b4n1p/1p4p1/3P1P2/P1P1P2N/1P4PP/RNBQKBR1 w Qq - 1 9,1.7400
rn1qkr2/p1ppppb1/b4n1p/1p4p1/3P1P2/P1P1P1PN/1P5P/RNBQKBR1 b Qq - 0 9,1.1200
rn1qkr2/p1ppppb1/b6p/1p4p1/3P1Pn1/P1P1P1PN/1P5P/RNBQKBR1 w Qq - 1 10,5.0700
rn1qkr2/p1ppppb1/b6p/1p4p1/3P1Pn1/P1P1P1PN/1P2K2P/RNBQ1BR1 b q - 2 10,0.7500
rn1qkr2/p1ppp1b1/b4p1p/1p4p1/3P1Pn1/P1P1P1PN/1P2K2P/RNBQ1BR1 w q - 0 11,1.6000
rn1qkr2/p1ppp1b1/b4p1p/1p4p1/2PP1Pn1/P3P1PN/1P2K2P/RNBQ1BR1 b q - 0 11,-0.5100
