fen,eval
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,0.3600
rnbqk2r/pppp1ppp/5n2/4p3/1b2P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 4 4,0.3200
rnbqk2r/pppp1ppp/5n2/4N3/1b2P3/2N5/PPPP1PPP/R1BQKB1R b KQkq - 0 4,0.3200
rnbq1rk1/pppp1ppp/5n2/4N3/1b2P3/2N5/PPPP1PPP/R1BQKB1R w KQ - 1 5,0.3400
rnbq1rk1/pppp1ppp/5n2/4N3/1bB1P3/2N5/PPPP1PPP/R1BQK2R b KQ - 2 5,0.1600
rnb1qrk1/pppp1ppp/5n2/4N3/1bB1P3/2N5/PPPP1PPP/R1BQK2R w KQ - 3 6,0.1700
rnb1qrk1/pppp1ppp/5n2/8/1bB1P1N1/2N5/PPPP1PPP/R1BQK2R b KQ - 4 6,-3.5900
rnb1qrk1/pppp1ppp/8/8/1bB1P1n1/2N5/PPPP1PPP/R1BQK2R w KQ - 0 7,-2.9300
rnb1qrk1/pppp1ppp/8/8/1bB1P1n1/2N5/PPPP1PPP/R1BQ1RK1 b - - 1 7,-3.8300
rnb1qrk1/pppp1ppp/8/4n3/1bB1P3/2N5/PPPP1PPP/R1BQ1RK1 w - - 2 8,-2.2200
rnb1qrk1/pppp1ppp/8/4n3/1b2P3/1BN5/PPPP1PPP/R1BQ1RK1 b - - 3 8,-2.6000
rnb1qrk1/pppp1ppp/6n1/8/1b2P3/1BN5/PPPP1PPP/R1BQ1RK1 w - - 4 9,-1.3900
rnb1qrk1/pppp1ppp/6n1/8/1b2PP2/1BN5/PPPP2PP/R1BQ1RK1 b - - 0 9,-1.7800
rnb1qrk1/pppp1ppp/6n1/8/4PP2/1Bb5/PPPP2PP/R1BQ1RK1 w - - 0 10,-1.7200
rnb1qrk1/pppp1ppp/6n1/5P2/4P3/1Bb5/PPPP2PP/R1BQ1RK1 b - - 0 10,-3.6100
